task_id,job_id,release,start,finish,deadline,response,missed,preemptions
1,1,0,0,3,10,3,0,0
2,1,0,3,14,25,14,0,1
3,1,5,14,20,45,15,0,0
1,2,10,10,13,20,3,0,0
1,3,20,20,23,30,3,0,0
2,2,25,25,36,50,11,0,1
1,4,30,30,33,40,3,0,0
1,5,40,40,43,50,3,0,0
3,2,45,45,65,85,20,0,1
1,6,50,50,53,60,3,0,0
2,3,50,53,64,75,14,0,1
1,7,60,60,63,70,3,0,0
1,8,70,70,73,80,3,0,0
2,4,75,75,86,100,11,0,1
1,9,80,80,83,90,3,0,0
3,3,85,86,95,125,10,0,1
1,10,90,90,93,100,3,0,0
1,11,100,100,103,110,3,0,0
2,5,100,103,114,125,14,0,1
1,12,110,110,113,120,3,0,0
1,13,120,120,123,130,3,0,0
2,6,125,125,136,150,11,0,1
3,4,125,136,145,165,20,0,1
1,14,130,130,133,140,3,0,0
1,15,140,140,143,150,3,0,0
1,16,150,150,153,160,3,0,0
2,7,150,153,164,175,14,0,1
1,17,160,160,163,170,3,0,0
3,5,165,165,174,205,9,0,1
1,18,170,170,173,180,3,0,0
2,8,175,175,186,200,11,0,1
1,19,180,180,183,190,3,0,0
1,20,190,190,193,200,3,0,0
