time_start,time_end,cpu_state,job
0,3,RUN,T1J1
3,10,RUN,T2J1
10,13,RUN,T1J2
13,14,RUN,T2J1
14,20,RUN,T3J1
20,23,RUN,T1J3
23,25,IDLE,IDLE
25,30,RUN,T2J2
30,33,RUN,T1J4
33,36,RUN,T2J2
36,40,IDLE,IDLE
40,43,RUN,T1J5
43,45,IDLE,IDLE
45,50,RUN,T3J2
50,53,RUN,T1J6
53,60,RUN,T2J3
60,63,RUN,T1J7
63,64,RUN,T2J3
64,65,RUN,T3J2
65,70,IDLE,IDLE
70,73,RUN,T1J8
73,75,IDLE,IDLE
75,80,RUN,T2J4
80,83,RUN,T1J9
83,86,RUN,T2J4
86,90,RUN,T3J3
90,93,RUN,T1J10
93,95,RUN,T3J3
95,100,IDLE,IDLE
100,103,RUN,T1J11
103,110,RUN,T2J5
110,113,RUN,T1J12
113,114,RUN,T2J5
114,120,IDLE,IDLE
120,123,RUN,T1J13
123,125,IDLE,IDLE
125,130,RUN,T2J6
130,133,RUN,T1J14
133,136,RUN,T2J6
136,140,RUN,T3J4
140,143,RUN,T1J15
143,145,RUN,T3J4
145,150,IDLE,IDLE
150,153,RUN,T1J16
153,160,RUN,T2J7
160,163,RUN,T1J17
163,164,RUN,T2J7
164,165,IDLE,IDLE
165,170,RUN,T3J5
170,173,RUN,T1J18
173,174,RUN,T3J5
174,175,IDLE,IDLE
175,180,RUN,T2J8
180,183,RUN,T1J19
183,186,RUN,T2J8
186,190,IDLE,IDLE
190,193,RUN,T1J20
193,200,IDLE,IDLE
